# Constructed from biom file
#OTU ID	sample-100	sample-101	sample-102	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Onagraceae;g__Onagraceae_gen_Incertae_sedis	52651.0	108941.0	79083.0	55330.0	74884.0	184935.0	134617.0	99331.0	1400.0	50050.0	28950.0	235210.0	102750.0	58925.0
Unassigned;__;__;__;__;__	51141.0	77096.0	61729.0	227902.0	333712.0	140697.0	104676.0	85418.0	686.0	94939.0	46791.0	152634.0	78305.0	56017.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Lythraceae;g__Lythrum	0.0	0.0	0.0	103458.0	162587.0	0.0	0.0	0.0	0.0	30099.0	28917.0	0.0	0.0	0.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Medicago	0.0	0.0	0.0	41025.0	57013.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Saxifragales;f__Grossulariaceae;g__Ribes	17334.0	4.0	0.0	0.0	0.0	42.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	17917.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Ericaceae;g__Calluna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15423.0	199.0	0.0	0.0	0.0	0.0	0.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Rosaceae;g__Filipendula	0.0	0.0	0.0	0.0	0.0	4294.0	4148.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fagales;f__Juglandaceae;__	2989.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3373.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Solanales;f__Convolvulaceae;g__Convolvulus	39.0	0.0	0.0	2025.0	2587.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Trifolium	0.0	0.0	0.0	130.0	239.0	0.0	0.0	0.0	0.0	5124.0	3338.0	0.0	0.0	0.0
