# Constructed from biom file
#OTU ID	sample-100	sample-101	sample-102	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Onagraceae;g__Onagraceae_gen_Incertae_sedis	0.4232021284291582	0.5853644120618136	0.5614377600136308	0.12793536870728164	0.11777324827941972	0.5603496598845576	0.5528146456848122	0.4960572510125299	0.612691466083151	0.25619893937222304	0.2500259094206653	0.6063504257419872	0.5674757683704746	0.431719772289342
Unassigned;__;__;__;__;__	0.41106493798779853	0.4142540890235777	0.4382356699654972	0.5269605349562064	0.5248430402999534	0.4263093308285485	0.42985971943887774	0.4265759759489815	0.300218818380744	0.4859794426585311	0.40410923411752514	0.3934768542268716	0.4324690028442824	0.4104140260387284
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Lythraceae;g__Lythrum	0.0	0.0	0.0	0.23921809824178467	0.2557074824796487	0.0	0.0	0.0	0.0	0.1540725649583325	0.24974090579334646	0.0	0.0	0.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Medicago	0.0	0.0	0.0	0.09485900056418273	0.08966676732218573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Saxifragales;f__Grossulariaceae;g__Ribes	0.13932851596723764	2.149289659767447e-05	0.0	0.0	0.0	0.000127259230081658	0.00011087749269029864	0.0	0.0	0.0	0.0	0.0	0.0	0.1312706518474016
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Ericaceae;g__Calluna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07702218826314292	0.08708971553610503	0.0	0.0	0.0	0.0	0.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Rosaceae;g__Filipendula	0.0	0.0	0.0	0.0	0.0	0.013010741285015226	0.017034068136272545	8.489769827358034e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fagales;f__Juglandaceae;__	0.024025206774320598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024712614203342392
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Solanales;f__Convolvulaceae;g__Convolvulus	0.00031347710411458793	0.0	0.0	0.004682254141193663	0.004068684809823979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005275150378418774
k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Trifolium	0.0	0.0	0.0	0.0003005891547432969	0.0003758854540193007	0.0	0.0	0.0	0.0	0.026229038268596818	0.0288285487269838	0.0	0.0	0.0
