# Constructed from biom file	1	1	1	1	1	1	1	1	1	1	1	1	1	1
#OTU ID	sample-100	sample-101	sample-102	sample-89	sample-90	sample-91	sample-92	sample-93	sample-94	sample-95	sample-96	sample-97	sample-98	sample-99
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Onagraceae;g__Onagraceae_gen_Incertae_sedis"	0,4232	0,5854	0,5614	0,1279	0,1178	0,5603	0,5528	0,4961	0,6127	0,2562	0,2500	0,6064	0,5675	0,4317
"Unassigned;__;__;__;__;__"	0,4111	0,4143	0,4382	0,5270	0,5248	0,4263	0,4299	0,4266	0,3002	0,4860	0,4041	0,3935	0,4325	0,4104
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Lythraceae;g__Lythrum"	0,0000	0,0000	0,0000	0,2392	0,2557	0,0000	0,0000	0,0000	0,0000	0,1541	0,2497	0,0000	0,0000	0,0000
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Medicago"	0,0000	0,0000	0,0000	0,0949	0,0897	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Saxifragales;f__Grossulariaceae;g__Ribes"	0,1393	0,0000	0,0000	0,0000	0,0000	0,0001	0,0001	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,1313
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales;f__Ericaceae;g__Calluna"	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0770	0,0871	0,0000	0,0000	0,0000	0,0000	0,0000
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Rosales;f__Rosaceae;g__Filipendula"	0,0000	0,0000	0,0000	0,0000	0,0000	0,0130	0,0170	0,0001	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fagales;f__Juglandaceae;__"	0,0240	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0247
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Solanales;f__Convolvulaceae;g__Convolvulus"	0,0003	0,0000	0,0000	0,0047	0,0041	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0005
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Trifolium"	0,0000	0,0000	0,0000	0,0003	0,0004	0,0000	0,0000	0,0000	0,0000	0,0262	0,0288	0,0000	0,0000	0,0000
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Fabales;f__Fabaceae;g__Securigera"	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0122	0,0138	0,0000	0,0000	0,0000
"k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Asterales;f__Asteraceae;g__Bidens"	0,0000	0,0000	0,0000	0,0026	0,0023	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
